link_num,string,link,date,date_sent,clicks,Value Only
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/improve-your-health-by-volunteering/
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/nvw2019
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/teenschangetheworld2019/
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/teenschangetheworld2019/support/
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/opportunity/614#tab-what
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/opportunity/4447#tab-what
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/opportunity/4273#tab-what
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/opportunity/4505#tab-what
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/opportunity/2544#tab-what
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/nonprofit/262
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/opportunity/4445#tab-what
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/opportunity/3106#tab-what
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/opportunity/4508
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/
13,Join Freedom United Board,https://activategood.org/opportunity/4273#tab-what,04/03/19,04/03/19 13:45:34,2,https://activategood.org/improve-your-health-by-volunteering/
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/nvw2019
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/teenschangetheworld2019/
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/teenschangetheworld2019/support/
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/opportunity/614#tab-what
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/opportunity/4447#tab-what
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/opportunity/4273#tab-what
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/opportunity/4505#tab-what
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/opportunity/2544#tab-what
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/nonprofit/262
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/opportunity/4445#tab-what
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/opportunity/3106#tab-what
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/opportunity/4508
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/
14,Kitten Schmoozing The Goathouse Refuge,https://activategood.org/opportunity/4505#tab-what,04/03/19,04/03/19 13:45:34,13,https://activategood.org/improve-your-health-by-volunteering/
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/nvw2019
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/teenschangetheworld2019/
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/teenschangetheworld2019/support/
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/614#tab-what
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4447#tab-what
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4273#tab-what
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4505#tab-what
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/2544#tab-what
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/nonprofit/262
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4445#tab-what
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/3106#tab-what
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4508
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/
15,Front Desk Greeter,https://activategood.org/opportunity/2544#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/improve-your-health-by-volunteering/
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/nvw2019
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/teenschangetheworld2019/
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/teenschangetheworld2019/support/
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/opportunity/614#tab-what
16,Garden Days Alliance Medical Ministry,https://activategood.org/nonprofit/262,04/03/19,04/03/19 13:45:34,5,https://activategood.org/opportunity/4447#tab-what
