"date","address","link_num","words_in_link","is_image","image_width","bolded","font_size","font_color","dup","dup_after_first","image_assoc","link_char_flag","date_sent","clicks","link_click_flag","string","doc_prop","html_flag","color_name","color_name_rgb"
"01/31/20","https://activategood.org/opportunity/4948#tab-what",12,"Special Olympics Intern",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",21,1,"Special Olympics Intern",0.450704225352113,1,"Teal","Teal (0,109,131)"
"01/31/20","https://activategood.org/opportunity/4977#tab-what",10,"Grantwriting",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",23,1,"Grantwriting",0.338028169014085,1,"Teal","Teal (0,109,131)"
"01/31/20","https://activategood.org/opportunity/4987#tab-what",15,"Garden Day",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",30,1,"Garden Day",0.619718309859155,1,"Teal","Teal (0,109,131)"
"01/31/20","https://activategood.org/opportunity/4990#tab-what",11,"Program Data Evaluation",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",21,1,"Program Data Evaluation",0.380281690140845,1,"Teal","Teal (0,109,131)"
"01/31/20","https://activategood.org/opportunity/4992#tab-what",13,"Office Assistant",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",27,1,"Office Assistant",0.5,1,"Teal","Teal (0,109,131)"
"01/31/20","https://activategood.org/opportunity/4995#tab-what",14,"School Tour Volunteer",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",21,1,"School Tour Volunteer",0.549295774647887,1,"Teal","Teal (0,109,131)"
"01/31/20","https://activategood.org/opportunity/5007#tab-what",9,"Social Media Help",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",23,1,"Social Media Help",0.295774647887324,1,"Teal","Teal (0,109,131)"
"01/31/20","https://activategood.org/opportunity/5030#tab-what",16,"Dress for Success Sale",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",32,1,"Dress Success Sale",0.661971830985915,1,"Teal","Teal (0,109,131)"
"01/31/20","https://activategood.org/opportunity/5031#tab-what",17,"Black History Festival",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",33,1,"Black History Festival",0.704225352112676,1,"Teal","Teal (0,109,131)"
"01/31/20","https://activategood.org/thegoodhub/pop-up-wish-list/",7,"POP UP Wish List",FALSE,NA,FALSE,16,"(255,255,255)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",41,1,"POP UP Wish List",0.211267605633803,1,"White","White (255,255,255)"
"01/31/20","https://activategood.org/thegoodhub/popup-volunteer/",8,"POP UP Volunteer Needs",FALSE,NA,FALSE,16,"(255,255,255)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",55,1,"POP UP Volunteer Needs",0.225352112676056,1,"White","White (255,255,255)"
"01/31/20","https://activategood.org/thegoodhub/support-popup/",6,"Sponsor the POP UP",FALSE,NA,FALSE,16,"(255,255,255)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",15,1,"Sponsor POP UP",0.197183098591549,1,"White","White (255,255,255)"
"01/31/20","https://oakcityproductions.com/",4,"Oak City Productions",FALSE,NA,TRUE,15,"(127,127,127)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",25,1,"Special Oak City Productions",0.140845070422535,1,"Grey","Grey (127,127,127)"
"01/31/20","https://twitter.com/activategood",22,"",TRUE,65,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"01/31/20 06:51:12",16,1,NA,NA,NA,NA,"NA NA"
"01/31/20","https://www.facebook.com/activategood/",21,"",TRUE,65,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"01/31/20 06:51:12",22,1,NA,NA,NA,NA,"NA NA"
"01/31/20","https://www.instagram.com/activategood/",23,"",TRUE,65,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"01/31/20 06:51:12",27,1,NA,NA,NA,NA,"NA NA"
"01/31/20","https://www.youtube.com/watch?v=rhojfP5qiwA&feature=youtu.be",5,"",TRUE,570,FALSE,NA,NA,FALSE,FALSE,TRUE,1,"01/31/20 06:51:12",57,1,NA,NA,NA,NA,"NA NA"
"01/31/20","https://www2.colliers.com/en/United-States/Cities/Raleigh",2,"Colliers International Raleigh Durham",FALSE,NA,TRUE,15,"(127,127,127)",FALSE,FALSE,FALSE,1,"01/31/20 06:51:12",22,1,"Thanks Colliers International Raleigh Durham",0.0774647887323944,1,"Grey","Grey (127,127,127)"
"02/01/19","https://activategood.org/",1,"",TRUE,450,FALSE,NA,NA,TRUE,FALSE,TRUE,1,"02/01/19 07:21:36",11,1,NA,NA,NA,NA,"NA NA"
"02/01/19","https://activategood.org/",17,"Activate Good",FALSE,NA,FALSE,21,"(89,89,89)",TRUE,TRUE,TRUE,1,"02/01/19 07:21:36",11,1,"Activate Good",0.762589928057554,1,"Mortar","Mortar (89,89,89)"
"02/01/19","https://activategood.org/donate",18,"Support our work and help our impact grow",FALSE,NA,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",4,1,"Support",0.805755395683453,1,"White","White (255,255,255)"
"02/01/19","https://activategood.org/opportunity/4330#tab-what",10,"Ultimate Frisbee Coach",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",4,1,"Ultimate Frisbee Coach",0.352517985611511,1,"Teal","Teal (0,109,131)"
"02/01/19","https://activategood.org/opportunity/4340#tab-details",13,"Communities in Schools Tutor",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",8,1,"Communities Schools Tutor",0.532374100719424,1,"Teal","Teal (0,109,131)"
"02/01/19","https://activategood.org/opportunity/4343#tab-what",16,"Workday at the Durham Hub Farm",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",10,1,"Workday Durham Hub Farm",0.712230215827338,1,"Teal","Teal (0,109,131)"
"02/01/19","https://activategood.org/opportunity/4357#tab-details",9,"After School Art Teacher",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",10,1,"After School Art Teacher",0.302158273381295,1,"Teal","Teal (0,109,131)"
"02/01/19","https://activategood.org/opportunity/4365#tab-what",12,"Backpack Buddies Packers",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",42,1,"Backpack Buddies Packers",0.482014388489209,1,"Teal","Teal (0,109,131)"
"02/01/19","https://activategood.org/opportunity/4372#tab-shifts",15,"NC Art Museum Park Workday",FALSE,NA,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,1,"02/01/19 07:21:36",17,1,"NC Art Museum Park Workday",0.661870503597122,1,"Teal","Teal (0,109,131)"
