"date","address","link_num","words_in_link","is_image","bolded","font_size","font_color","dup","dup_after_first","image_assoc","date_sent","clicks"
"01/31/20","https://www.instagram.com/activategood/",23,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"01/31/20 06:51:12",27
"01/31/20","https://www.youtube.com/watch?v=rhojfP5qiwA&feature=youtu.be",5,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"01/31/20 06:51:12",57
"01/31/20","https://www2.colliers.com/en/United-States/Cities/Raleigh",2,"Colliers International Raleigh Durham",FALSE,TRUE,15,"(127,127,127)",FALSE,FALSE,FALSE,"01/31/20 06:51:12",22
"01/31/20","http://https%3a%2f%2fwww.youtube.com%2fwatch%3fv%3drhojfp5qiwa%26feature%3dyoutu.be",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/31/20 06:51:12",2
"01/31/20","https://activategood.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/31/20 06:51:12",1
"01/31/20","https://activategood.org/thegoodhub/support-popup",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/31/20 06:51:12",1
"01/31/20","https://oakcityproductions.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/31/20 06:51:12",1
"02/01/19","https://activategood.org/",17,"Activate Good",FALSE,FALSE,21,"(89, 89, 89)",TRUE,TRUE,TRUE,"02/01/19 07:21:36",11
"02/01/19","https://activategood.org/",1,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"02/01/19 07:21:36",11
"02/01/19","https://activategood.org/donate",18,"Support our work and help our impact grow",FALSE,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",4
"02/01/19","https://activategood.org/opportunity/4330#tab-what",10,"Ultimate Frisbee Coach",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",4
"02/01/19","https://activategood.org/opportunity/4340#tab-details",13,"Communities in Schools Tutor",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",8
"02/01/19","https://activategood.org/opportunity/4343#tab-what",16,"Workday at the Durham Hub Farm",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",10
"02/01/19","https://activategood.org/opportunity/4357#tab-details",9,"After School Art Teacher",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",10
"02/01/19","https://activategood.org/opportunity/4365#tab-what",12,"Backpack Buddies Packers",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",42
"02/01/19","https://activategood.org/opportunity/4372#tab-shifts",15,"NC Art Museum Park Workday",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",17
"02/01/19","https://activategood.org/opportunity/4374#tab-details",11,"Help Durham Teachers get free School Supplies!",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",7
"02/01/19","https://activategood.org/opportunity/4375#tab-what",8,"Cabinet Sales with Habitat Restore",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",6
"02/01/19","https://activategood.org/opportunity/4380#tab-what",14,"Childcare at Families Moving Forward",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",12
"02/01/19","https://activategood.org/teenschangetheworld2019/",5,"Teens Change the World! Summer Program",FALSE,TRUE,18,"(255, 255, 255)",TRUE,TRUE,TRUE,"02/01/19 07:21:36",56
"02/01/19","https://activategood.org/teenschangetheworld2019/",4,"",TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"02/01/19 07:21:36",56
"02/01/19","https://activategood.org/teenschangetheworld2019/",3,"",TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"02/01/19 07:21:36",56
"02/01/19","https://activategood.org/teenschangetheworld2019/",2,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"02/01/19 07:21:36",56
"02/01/19","https://activategood.org/teenschangetheworld2019/",6,"Registrations Now Open",FALSE,FALSE,20,"(255,255,255)",TRUE,TRUE,TRUE,"02/01/19 07:21:36",56
"02/01/19","https://activategood.org/teenschangetheworld2019/support/",7,"Donate here",FALSE,TRUE,18,"(255, 255, 255)",FALSE,FALSE,FALSE,"02/01/19 07:21:36",3
"02/01/19","https://twitter.com/activategood",20,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"02/01/19 07:21:36",1
"02/01/19","https://www.facebook.com/activategood/",19,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"02/01/19 07:21:36",1
"02/01/19","https://www.instagram.com/activategood/",21,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"02/01/19 07:21:36",1
"02/01/19","https://activategood.org/opportunity/4365",NA,NA,NA,NA,NA,NA,NA,NA,NA,"02/01/19 07:21:36",1
"03/04/19","https://activategood.org/",1,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"03/04/19 07:03:41",4
"03/04/19","https://activategood.org/",20,"Activate Good",FALSE,FALSE,21,"(89, 89, 89)",TRUE,TRUE,TRUE,"03/04/19 07:03:41",4
"03/04/19","https://activategood.org/donate",21,"Support our work and help our impact grow",FALSE,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,NA,NA
"03/04/19","https://activategood.org/nvw2019",2,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"03/04/19 07:03:41",94
"03/04/19","https://activategood.org/nvw2019",3,"National Volunteer Week",FALSE,TRUE,18,"(255, 255, 255)",TRUE,TRUE,TRUE,"03/04/19 07:03:41",94
"03/04/19","https://activategood.org/nvw2019",4,"View Current Volunteer Needs and Sign Up",FALSE,FALSE,20,"(255,255,255)",TRUE,TRUE,TRUE,"03/04/19 07:03:41",94
"03/04/19","https://activategood.org/opportunity/2327#tab-what",11,"Medical Interpreter",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/04/19 07:03:41",1
"03/04/19","https://activategood.org/opportunity/2447#tab-details",17,"Tree Giveaway at NC Museum of Natural Sciences",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/04/19 07:03:41",18
"03/04/19","https://activategood.org/opportunity/2656#tab-what",13,"Robotics Demo and Clinic",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/04/19 07:03:41",9
"03/04/19","https://activategood.org/opportunity/3329#tab-what",16,"Community Service at the Farm",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/04/19 07:03:41",14
"03/04/19","https://activategood.org/opportunity/4054#tab-what",12,"Pro-Bono Attorne",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,NA,NA
"03/04/19","https://activategood.org/opportunity/4218#tab-what",14,"Silent Auction Assistance",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/04/19 07:03:41",8
"03/04/19","https://activategood.org/opportunity/4365#tab-what",15,"Backpack Buddies Packers",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/04/19 07:03:41",29
"03/04/19","https://activategood.org/opportunity/4405#tab-what",19,"Trail Days at Ledge Creek",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/04/19 07:03:41",6
"03/04/19","https://activategood.org/opportunity/4408#tab-what",18,"Raleigh St. Patrick's Day Parade",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/04/19 07:03:41",13
"03/04/19","https://activategood.org/teenschangetheworld2019/",5,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"03/04/19 07:03:41",47
"03/04/19","https://activategood.org/teenschangetheworld2019/",8,"Teens Change the World! Summer Program",FALSE,TRUE,18,"(255, 255, 255)",TRUE,TRUE,TRUE,"03/04/19 07:03:41",47
"03/04/19","https://activategood.org/teenschangetheworld2019/",7,"",TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"03/04/19 07:03:41",47
"03/04/19","https://activategood.org/teenschangetheworld2019/",9,"Learn More and Register Here",FALSE,FALSE,20,"(255,255,255)",TRUE,TRUE,TRUE,"03/04/19 07:03:41",47
"03/04/19","https://activategood.org/teenschangetheworld2019/",6,"",TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"03/04/19 07:03:41",47
"03/04/19","https://activategood.org/teenschangetheworld2019/support/",10,"Donate here",FALSE,TRUE,18,"(255, 255, 255)",FALSE,FALSE,FALSE,NA,NA
"03/04/19","https://twitter.com/activategood",23,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"03/04/19 07:03:41",2
"03/04/19","https://www.facebook.com/activategood/",22,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"03/04/19 07:03:41",1
"03/04/19","https://www.instagram.com/activategood/",24,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"03/04/19 07:03:41",2
"03/04/19","https://activategood.org/opportunity/2656",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03/04/19 07:03:41",2
"03/04/19","https://activategood.org/opportunity/4365",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03/04/19 07:03:41",1
"03/12/20","https://activategood.org/",1,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"03/12/20 19:15:25",49
"03/12/20","https://activategood.org/",12,"Activate Good",FALSE,FALSE,21,"(89, 89, 89)",TRUE,TRUE,TRUE,"03/12/20 19:15:25",49
"03/12/20","https://activategood.org/covid-19-coronavirus-activate-good-response/",3,"here",FALSE,TRUE,18,"(127,127,127)",TRUE,TRUE,TRUE,"03/12/20 19:15:25",77
"03/12/20","https://activategood.org/covid-19-coronavirus-activate-good-response/",2,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"03/12/20 19:15:25",77
"03/12/20","https://activategood.org/donate",13,"Support our work and help our impact grow",FALSE,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,"03/12/20 19:15:25",52
"03/12/20","https://activategood.org/opportunity",8,"here",FALSE,TRUE,18,"(127,127,127)",TRUE,TRUE,FALSE,"03/12/20 19:15:25",139
"03/12/20","https://activategood.org/opportunity",7,"To continue regular volunteering",FALSE,TRUE,18,"(127,127,127)",TRUE,FALSE,FALSE,"03/12/20 19:15:25",139
"03/12/20","https://activategood.org/opportunity",11,"View all current opportunities to make an impact",FALSE,FALSE,20,"(255,255,255)",TRUE,TRUE,FALSE,"03/12/20 19:15:25",139
"03/12/20","https://activategood.org/remote",9,"Remote volunteering",FALSE,TRUE,18,"(127,127,127)",TRUE,TRUE,FALSE,"03/12/20 19:15:25",324
"03/12/20","https://activategood.org/remote",5,"here",FALSE,TRUE,18,"(127,127,127)",TRUE,TRUE,FALSE,"03/12/20 19:15:25",324
"03/12/20","https://activategood.org/remote",10,"this list",FALSE,TRUE,18,"(127,127,127)",TRUE,TRUE,FALSE,"03/12/20 19:15:25",324
"03/12/20","https://activategood.org/remote",6,"help the community, including ways to help remotely",FALSE,TRUE,18,"(127,127,127)",TRUE,TRUE,FALSE,"03/12/20 19:15:25",324
"03/12/20","https://activategood.org/remote",4,"remote volunteer opportunities",FALSE,TRUE,18,"(127,127,127)",TRUE,FALSE,FALSE,"03/12/20 19:15:25",324
"03/12/20","https://twitter.com/activategood",15,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"03/12/20 19:15:25",55
"03/12/20","https://www.facebook.com/activategood/",14,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"03/12/20 19:15:25",49
"03/12/20","https://www.instagram.com/activategood/",16,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"03/12/20 19:15:25",51
"03/12/20","http://https%3a%2f%2factivategood.org%2fopportunity",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03/12/20 19:15:25",1
"03/12/20","https://activategood.org/covid-19-coronavirus-activate-good-response",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03/12/20 19:15:25",1
"03/17/20","https://activategood.org/",14,"Activate Good",FALSE,FALSE,21,"(89, 89, 89)",TRUE,TRUE,TRUE,"03/17/20 13:58:30",26
"03/17/20","https://activategood.org/",1,"",TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,"03/17/20 13:58:30",26
"03/17/20","https://activategood.org/covid19/",2,"linked here",FALSE,TRUE,18,"(242, 136, 0)",TRUE,FALSE,TRUE,"03/17/20 13:58:30",242
"03/17/20","https://activategood.org/covid19/",4,"",TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,"03/17/20 13:58:30",242
"03/17/20","https://activategood.org/covid19/",5,"https://activategood.org/covid19",FALSE,FALSE,18,"(17, 85, 204)",TRUE,TRUE,TRUE,"03/17/20 13:58:30",242
"03/17/20","https://activategood.org/donate",15,"Support our long-term sustainability with a donation",FALSE,FALSE,20,"(255,255,255)",FALSE,FALSE,FALSE,"03/17/20 13:58:30",33
"03/17/20","https://activategood.org/opportunity/4146",9,"Courage Cards",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/17/20 13:58:30",39
"03/17/20","https://activategood.org/opportunity/4472",8,"Website Updates",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/17/20 13:58:30",38
"03/17/20","https://activategood.org/opportunity/5103",13,"Grant Research",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/17/20 13:58:30",37
"03/17/20","https://activategood.org/opportunity/5123",10,"Host a Supply Drive",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/17/20 13:58:30",43
"03/17/20","https://activategood.org/opportunity/5124",11,"Virtual Ambassadors",FALSE,TRUE,15,"(0,109,131)",FALSE,FALSE,FALSE,"03/17/20 13:58:30",33
"03/17/20","https://activategood.org/opportunity/5127",12,"Deliver clothes for Note in the Pocket",FALSE,TRUE,15,"(0, 109, 131)",FALSE,FALSE,FALSE,"03/17/20 13:58:30",33
"03/17/20","https://activategood.org/remote",6,"https://activategood.org/remote",FALSE,FALSE,18,"(17, 85, 204)",FALSE,FALSE,FALSE,"03/17/20 13:58:30",78
"03/17/20","https://docs.google.com/forms/d/e/1FAIpQLSf7SmiF1wB5iRgF_nY0t8nsyrBrhq6XLiVUfATtVUFQewznmw/viewform",3,"here",FALSE,TRUE,18,"(242, 136, 0)",TRUE,FALSE,FALSE,"03/17/20 13:58:30",70
"03/17/20","https://docs.google.com/forms/d/e/1FAIpQLSf7SmiF1wB5iRgF_nY0t8nsyrBrhq6XLiVUfATtVUFQewznmw/viewform",7,"Volunteer Interest Form",FALSE,TRUE,18,"(0, 0, 0)",TRUE,TRUE,FALSE,"03/17/20 13:58:30",70
"03/17/20","https://twitter.com/activategood",17,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"03/17/20 13:58:30",37
"03/17/20","https://www.facebook.com/activategood/",16,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"03/17/20 13:58:30",36
"03/17/20","https://www.instagram.com/activategood/",18,"",TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,"03/17/20 13:58:30",34
"03/17/20","http://https%3a%2f%2factivategood.org%2fcovid19%2f",NA,NA,NA,NA,NA,NA,NA,NA,NA,"03/17/20 13:58:30",2
"04/01/20","http://activategood.org/thegoodhub",13,"Good Hub",FALSE,FALSE,18,"(57, 57, 57)",FALSE,FALSE,FALSE,"04/01/20 14:36:28",26
